"name","country.etc","pop","lat","long","group","cycle"
"Topeka KS","KS",121229,39.04,-95.69,"Union",1
"Hoover AL","AL",67576,33.38,-86.82,"Confederate",1
"Green Bay WI","WI",100616,44.52,-87.99,"Union",1
"Cary NC","NC",106117,35.78,-78.8,"Confederate",1
"Altoona PA","PA",46442,40.51,-78.4,"Union",1
"Monroe LA","LA",51292,32.51,-92.08,"Confederate",1
"Taylor MI","MI",64874,42.23,-83.27,"Union",1
"East Lake FL","FL",47720,27.98,-82.38,"Confederate",1
"La Mirada CA","CA",50598,33.9,-118.01,"Union",1
"Conway AR","AR",53297,35.09,-92.45,"Confederate",1
"Fairfield CT","CT",59352,41.13,-73.26,"Union",1
"Columbia SC","SC",118020,34.04,-80.89,"Confederate",1
"Gresham OR","OR",100674,45.5,-122.44,"Union",1
"Valdosta GA","GA",45909,30.85,-83.28,"Confederate",1
"Portland ME","ME",62882,43.66,-70.28,"Union",1
"Chattanooga TN","TN",153617,35.07,-85.26,"Confederate",1
"Montpelier VT","VT",8003,44.26,-72.57,"Union",1
"Hattiesburg MS","MS",48728,31.31,-89.31,"Confederate",1
"Kettering OH","OH",55473,39.7,-84.15,"Union",1
"Lynchburg VA","VA",65485,37.4,-79.19,"Confederate",1
"Plainfield NJ","NJ",47769,40.62,-74.42,"Union",1
"Abilene TX","TX",113888,32.45,-99.74,"Confederate",1
"East Providence RI","RI",50750,41.8,-71.36,"Union",1
"El Paso TX","TX",603545,31.85,-106.44,"Confederate",2
"Revere MA","MA",46259,42.42,-70.99,"Union",1
"Bartlett TN","TN",43852,35.22,-89.84,"Confederate",2
"Mishawaka IN","IN",49534,41.67,-86.17,"Union",1
"Mount Pleasant SC","SC",61690,32.82,-79.86,"Confederate",2
"Freeport NY","NY",43377,40.65,-73.58,"Union",1
"Virginia Beach VA","VA",453884,36.74,-76.04,"Confederate",2
"Salem NH","NH",42859,42.53,-70.87,"Union",1
"Charlotte NC","NC",607111,35.2,-80.83,"Confederate",2
"Cicero IL","IL",80414,41.84,-87.76,"Union",1
"Little Rock AR","AR",184323,34.72,-92.35,"Confederate",2
"Sioux City IA","IA",82863,42.5,-96.39,"Union",1
"Lafayette LA","LA",112317,30.22,-92.03,"Confederate",2
"Saint Louis Park MN","MN",44032,44.95,-93.36,"Union",1
"Sandy Springs GA","GA",96496,33.94,-84.37,"Confederate",2
"Manchester NH","NH",110384,42.98,-71.44,"Union",2
"Huntsville AL","AL",169155,34.71,-86.63,"Confederate",2
"Plymouth MN","MN",73505,45.02,-93.46,"Union",2
"Southaven MS","MS",40806,34.97,-90,"Confederate",2
"West New York NY","NY",46091,40.77,-73.98,"Union",2
"Spring Hill FL","FL",103782,28.48,-82.56,"Confederate",2
"Council Bluffs IA","IA",58834,41.24,-95.86,"Union",2
"Alexandria LA","LA",44933,31.29,-92.46,"Confederate",3
"Wauwatosa WI","WI",45076,43.06,-88.03,"Union",2
"Savannah GA","GA",124898,32.02,-81.13,"Confederate",3
"Shawnee KS","KS",59626,39.02,-94.8,"Union",2
"Chattanooga TN","TN",153617,35.07,-85.26,"Confederate",3
"Montpelier VT","VT",8003,44.26,-72.57,"Union",2
"Fayetteville AR","AR",66288,36.07,-94.16,"Confederate",3
"Farmington Hills MI","MI",79530,42.49,-83.38,"Union",2
"Madison AL","AL",39516,34.7,-86.75,"Confederate",3
"Parsippany-Troy Hills Township NJ","NJ",52051,40.86,-74.42,"Union",2
"Mount Pleasant SC","SC",61690,32.82,-79.86,"Confederate",3
"Brookline MA","MA",55862,42.32,-71.14,"Union",2
"Huntersville NC","NC",43970,35.41,-80.86,"Confederate",3
"Pico Rivera CA","CA",66874,33.99,-118.09,"Union",2
"Suffolk VA","VA",84396,36.7,-76.64,"Confederate",3
"Cleveland OH","OH",443949,41.48,-81.68,"Union",2
"San Marcos TX","TX",49051,29.88,-97.93,"Confederate",3
"Bloomington IN","IN",71260,39.17,-86.52,"Union",2
"Gulfport MS","MS",71400,30.39,-89.07,"Confederate",3
"East Providence RI","RI",50750,41.8,-71.36,"Union",2
"Palm Beach Gardens FL","FL",50768,26.84,-80.12,"Confederate",3
"Medford OR","OR",70717,42.34,-122.85,"Union",2
"Pompano Beach FL","FL",90446,26.24,-80.13,"Confederate",4
"Reading PA","PA",79476,40.34,-75.93,"Union",2
"El Paso TX","TX",603545,31.85,-106.44,"Confederate",4
"Portland ME","ME",62882,43.66,-70.28,"Union",2
"Concord NC","NC",61640,35.41,-80.59,"Confederate",4
"Carol Stream IL","IL",39749,41.92,-88.13,"Union",2
"Richmond VA","VA",189498,37.53,-77.47,"Confederate",4
