assignment,allegiance_designation,website,name,campaign_assignment,pickup_service_validation,contact_page_validation,address,phone,price_level,alegiance,city,state,blocking issue,email_address,date_sent,time_sent,phone_number ,Received_Response,Estimate,Time_Response_Received
black_female,Confederacy,https://www.alabamacoastalcatering.com/,Alabama Coastal Catering,,,,"25689 Canal Rd Suite C, Orange Beach, AL 36561, USA",(251) 233-6003,,Confederacy,Orange Beach,Alabama,,,,,,,,
black_female,Confederacy,https://www.alabamacoastalcatering.com/,Alabama Coastal Catering,,,,"25689 Canal Rd Suite C, Orange Beach, AL 36561, USA",(251) 233-6003,,Confederacy,Orange Beach,Alabama,,,,,,,,
black_female,Confederacy,https://ashleymacs.com/,Ashley Mac's Kitchen,,,,"4730 Chace Cir, Hoover, AL 35244, USA",(205) 259-5044,2,Confederacy,Hoover,Alabama,,,,,,,,
black_female,Confederacy,https://www.bateshouseturkey.com/,Bates House of Turkey,,,,"1001 Fort Dale Rd, Greenville, AL 36037, USA",(334) 382-6123,1,Confederacy,Greenville,Alabama,,,,,,,,
black_female,Confederacy,http://www.cateringbybellinis.com/,Catering by Bellinis,,,,"6801 Cahaba Valley Rd #106, Birmingham, AL 35242, USA",(205) 617-2449,,Confederacy,Birmingham,Alabama,,,,,,,,
black_female,Confederacy,http://cypressinnrestaurant.com/,Cypress Inn Pavilion,,,,"601 Rice Mine Rd N, Tuscaloosa, AL 35406, USA",(205) 454-1735,2,Confederacy,Tuscaloosa,Alabama,,,,,,,,
black_female,Confederacy,http://cypressinnrestaurant.com/,Cypress Inn Pavilion,,,,"601 Rice Mine Rd N, Tuscaloosa, AL 35406, USA",(205) 454-1735,2,Confederacy,Tuscaloosa,Alabama,,,,,,,,
black_female,Confederacy,http://www.garfrericks.com/,Garfrerick's Cafe and Catering,0,0,0,"655 Creekside Dr C, Oxford, AL 36203, USA",,3,Confederacy,Oxford,Alabama,,,,,,,,
black_female,Confederacy,http://www.goodcompany-cafe.com/,Good Company Cafe,,,,"7500 Memorial Pkwy SW #123, Huntsville, AL 35802, USA",(256) 881-0044,1,Confederacy,Huntsville,Alabama,,,,,,,,
black_female,Confederacy,http://jennieweller.com/,Jennie Weller Catering,,,,"231 N Hull St, Montgomery, AL 36104, USA",(334) 264-7480,,Confederacy,Montgomery,Alabama,,,,,,,,
black_female,Confederacy,http://jennieweller.com/,Jennie Weller Catering,,,,"231 N Hull St, Montgomery, AL 36104, USA",(334) 264-7480,,Confederacy,Montgomery,Alabama,,,,,,,,
black_female,Confederacy,http://ketchems.com/,"Ketchem's Restaurant, Catering and Venue",0,0,0,"115 Main St, Hartford, AL 36344, USA",(334) 723-4109,2,Confederacy,Hartford,Alabama,,,,,,,,
black_female,Confederacy,https://www.doordash.com/store/lizzy-carrie-deli-&-catering-selma-23863876/,"Lizzy Carrie Deli & Catering, L.L.C",,,,"3000 Earl Goodwin Pkwy, Selma, AL 36703, USA",(334) 349-5936,2,Confederacy,Selma,Alabama,,,,,,,,
black_female,Confederacy,http://www.majesticcatering.com/,Majestic Catering Services,,,,"2420 Morgan Rd, Bessemer, AL 35022, USA",(205) 426-6500,,Confederacy,Bessemer,Alabama,,,,,,,,
black_female,Confederacy,http://www.namanscatering.com/,Naman's Catering,,,,"2961 Dauphin Island Pkwy, Mobile, AL 36605, USA",(251) 473-3900,,Confederacy,Mobile,Alabama,,,,,,,,
black_female,Confederacy,http://www.plantationhouserc.com/,Plantation House Restaurant and Catering,1,0,1,"3240 Grandview Rd, Millbrook, AL 36054, USA",(334) 285-1466,2,Confederacy,Millbrook,Alabama,,monique.jackson0241@gmail.com,,,,,,
